distance,altitude,latitude,longitude
0,5.7,52.345813,4.862189
0.0,5.7,52.345813,4.862189
3.616933391415802,5.7,52.345822,4.86224
7.168433003679912,5.7,52.345831,4.86229
10.71993195278831,5.7,52.34584,4.86234
14.336863311165963,5.7,52.345849,4.862391
17.88836093325394,5.7,52.345858,4.862441
21.439857892009826,5.6,52.345867,4.862491
24.991354186548982,5.6,52.345876,4.862541
28.542849817578933,5.6,52.345885,4.862591
32.09434478615981,5.6,52.345894,4.862641
35.58051011547056,5.6,52.345903,4.86269
39.13200375738579,5.6,52.345912,4.86274
42.618167789314064,5.5,52.345921,4.862789
46.16966010367969,5.5,52.34593,4.862839
49.65582283698768,5.5,52.345939,4.862888
53.17556453627337,5.5,52.345949,4.862937
56.66172589866926,5.5,52.345958,4.862986
60.14788661184262,5.4,52.345967,4.863035
63.63404667650243,5.4,52.345976,4.863084
67.15378573337578,5.4,52.345986,4.863133
70.6399444276522,5.4,52.345995,4.863182
74.12610247341507,5.4,52.346004,4.863231
77.6458395305394,5.4,52.346014,4.86328
81.13199620662664,5.4,52.346023,4.863329
84.65173190701977,5.3,52.346033,4.863378
88.13788721183984,5.3,52.346042,4.863427
91.68937060682714,5.3,52.346051,4.863477
95.14520306328006,5.3,52.346059,4.863526
98.63135649343585,5.3,52.346068,4.863575
102.08718771274665,5.3,52.346076,4.863624
105.58244116742294,5.3,52.346083,4.863674
109.01129430634121,5.3,52.34609,4.863723
112.50654671179507,5.3,52.346097,4.863773
115.97869611358794,5.3,52.346103,4.863823
119.36393747101849,5.3,52.346108,4.863872
122.81641704799988,5.3,52.346113,4.863922
126.2688962458263,5.3,52.346118,4.863972
129.65413648889734,5.3,52.346123,4.864021
133.10661492823775,5.3,52.346128,4.864071
136.47535501237803,5.2,52.346132,4.86412
139.92783276906357,5.2,52.346137,4.86417
143.31307160027063,5.1,52.346142,4.864219
146.7183674636544,5.1,52.346148,4.864268
150.1036054778296,5.1,52.346153,4.864317
153.5324534829968,5,52.34616,4.864366
156.93774801691413,5,52.346166,4.864415
