distance,altitude,latitude,longitude
0.0,4.630000000000001,52.7108500,4.6916700
60.02832220878622,4.390000000000001,52.7105900,4.6924500
120.25756048145239,5.220000000000001,52.7103900,4.6932800
180.48681134918843,4.99,52.7101900,4.6941100
267.5596312733506,4.7,52.7099250,4.6953250
354.63246453138686,5.44,52.7096600,4.6965400
377.1323021484394,5.68,52.7095600,4.6968300
403.3602362290707,6.21,52.7094100,4.6971300
462.91279581384674,6.48,52.7090350,4.6977600
522.4653449861413,5.790000000000001,52.7086600,4.6983900
592.0156922731311,5.53,52.7083150,4.6992500
661.5660444339728,5.33,52.7079700,4.7001100
694.7888234742969,5.2700000000000005,52.7077800,4.7004900
721.8323658416882,5.38,52.7075900,4.7007400
804.6820226779013,6.2700000000000005,52.7069700,4.7014200
895.018305465969,6.3500000000000005,52.7063800,4.7023400
935.4047407087402,8.200000000000001,52.7060900,4.7019800
992.1032722392077,8.620000000000001,52.7057100,4.7014200
1046.6147920415694,7.99,52.7058850,4.7006650
1101.1262934418255,8.6,52.7060600,4.6999100
1145.987145543755,8.620000000000001,52.7061700,4.6992700
1231.4806846290248,8.790000000000001,52.7063300,4.6980300
1258.5460095507842,8.790000000000001,52.7063500,4.6976300
1268.903143520297,8.790000000000001,52.7063300,4.6974800
1276.711004430063,8.74,52.7063900,4.6974200
1285.2000181065184,8.74,52.7063200,4.6973700
1296.7887295116875,8.39,52.7062400,4.6972600
1359.0773468127743,7.96,52.7061900,4.6963400
1436.8502277314794,8.68,52.7059800,4.6952400
1522.2825496134162,9.58,52.7056100,4.6941300
1604.188086341161,10.280000000000001,52.7052200,4.6931000
1657.2568429725077,11.4,52.7049800,4.6924200
1704.399652573206,11.850000000000001,52.7053800,4.6921900
1733.5719646333691,12.38,52.7056300,4.6920600
1801.2014477519683,11.840000000000002,52.7062200,4.6918200
1868.8309652569842,10.72,52.7068100,4.6915800
1948.9744376090725,8.47,52.7075000,4.6912400
1995.8994296998378,8.23,52.7079000,4.6910200
2038.3442341596078,8.23,52.7082500,4.6907700
2114.1454573088854,7.0,52.7088600,4.6902700
2125.2184843953182,7.0,52.7089500,4.6902000
2152.738738066493,7.0,52.7091500,4.6899600
2249.7599999049044,6.140000000000001,52.7098100,4.6890200
2254.5049585124098,6.11,52.7098400,4.6889700
2268.6720016937297,5.74,52.7099400,4.6888400
2313.629108229636,5.410000000000001,52.7102800,4.6884800
2386.9260917884985,6.33,52.7108550,4.6879500
2460.2231094366703,5.21,52.7114300,4.6874200
2472.539680626309,5.21,52.7115400,4.6874000
2481.6702172658024,5.090000000000001,52.7116200,4.6874300
2525.4510315065663,4.410000000000001,52.7119200,4.6878500
2554.075752754695,4.390000000000001,52.7121500,4.6880400
2644.657422762747,3.89,52.7125500,4.6868700
2742.5422258432723,4.880000000000001,52.7129650,4.6855900
2840.4270001857685,6.430000000000001,52.7133800,4.6843100
2866.6849247948467,6.59,52.7134700,4.6839500
2941.5933101408564,7.59,52.7136900,4.6829000
3016.501695488103,7.5200000000000005,52.7139100,4.6818500
3091.4100504684734,9.46,52.7141300,4.6808000
3119.198335093198,11.690000000000001,52.7142400,4.6804300
3146.8783567130786,12.97,52.7143700,4.6800800
3180.817461296841,13.8,52.7145700,4.6797000
3241.7203389378774,15.320000000000002,52.7149500,4.6790500
3311.1980666023405,14.68,52.7153200,4.6782200
3350.184908306407,14.15,52.7155400,4.6777700
3400.495688722949,13.950000000000001,52.7158700,4.6772600
3442.173771001071,13.260000000000002,52.7161700,4.6768900
3480.7534584882997,13.500000000000002,52.7164900,4.6766700
3526.8960743974726,12.67,52.7168900,4.6764900
3541.8567009033304,12.16,52.7170100,4.6763900
3598.64314905245,8.190000000000001,52.7173800,4.6758100
3655.4295853086783,6.890000000000001,52.7177500,4.6752300
3731.6182131662463,7.4,52.7183100,4.6745800
3798.156445875108,7.180000000000001,52.7187800,4.6739700
3864.694659476896,7.2700000000000005,52.7192500,4.6733600
3946.931595538389,5.49,52.7197800,4.6725100
3983.846231992451,5.95,52.7200400,4.6721700
4073.0336435142826,4.7700000000000005,52.7207200,4.6714700
4099.212859265626,5.9,52.7209000,4.6712200
4120.716074723155,5.9,52.7210200,4.6709700
4151.859078589323,6.390000000000001,52.7211700,4.6705800
4191.031005452145,6.33,52.7213000,4.6700400
4267.885660815415,7.37,52.7215300,4.6689650
4344.740330420946,7.4,52.7217600,4.6678900
4390.235112528832,7.03,52.7218700,4.6672400
4424.595275562637,6.85,52.7219300,4.6667400
4465.77556855723,6.800000000000001,52.7219500,4.6661300
4521.7950076471825,7.9,52.7219250,4.6653000
4577.814463172124,8.47,52.7219000,4.6644700
4600.308946170086,8.610000000000001,52.7219300,4.6641400
4621.465867096082,9.99,52.7217400,4.6641300
4640.684005929475,10.790000000000001,52.7215700,4.6641800
4708.4765969227765,14.48,52.7209800,4.6644300
4800.2929829570985,12.13,52.7209350,4.6657900
4892.109370924514,10.85,52.7208900,4.6671500
4908.861703347328,10.530000000000001,52.7208200,4.6673700
4929.692001946138,9.930000000000001,52.7207100,4.6676200
4983.3763311037965,9.65,52.7204800,4.6683200
5023.840795353222,9.170000000000002,52.7202700,4.6688100
5081.123096259316,10.3,52.7197800,4.6690700
5109.74681484324,10.34,52.7195500,4.6692600
5145.79580586767,11.63,52.7193000,4.6696000
5232.193372159325,12.3,52.7188300,4.6706200
5263.990112802791,12.110000000000001,52.7187000,4.6710400
5338.374236561298,11.53,52.7183550,4.6719850
5412.758358520475,12.520000000000001,52.7180100,4.6729300
5474.479587296233,12.57,52.7177100,4.6737000
