distance,altitude,latitude,longitude
0.0,4.46,52.3743700,4.9050500
88.06812897131769,3.8400000000000003,52.3738350,4.9060050
176.13627115385387,4.03,52.3733000,4.9069600
221.78929122087732,3.1500000000000004,52.3729900,4.9074000
280.4220390008483,4.090000000000001,52.3726300,4.9080300
308.28794534339875,5.32,52.3724900,4.9083700
357.69166715268324,5.37,52.3723700,4.9090700
372.8335074902935,4.79,52.3723100,4.9092700
422.8033179726483,4.69,52.3721000,4.9099200
446.74339638795146,4.5,52.3720100,4.9102400
463.87601115757394,4.5,52.3719900,4.9104900
474.80476716460106,4.32,52.3720000,4.9106500
484.88663751065593,4.32,52.3720300,4.9107900
502.9831235058516,4.32,52.3721300,4.9110000
555.1712700272029,1.9200000000000002,52.3725100,4.9114500
601.4253199178153,1.9200000000000002,52.3728800,4.9117600
672.5419331757311,1.77,52.3734800,4.9121200
691.6564135838657,1.9400000000000002,52.3736500,4.9121600
758.5201857408449,0.38,52.3742500,4.9122100
825.2411551749107,-1.0,52.3748450,4.9120900
891.96215590136,-2.31,52.3754400,4.9119700
987.216239230539,-5.59,52.3762867,4.9117650
1082.4703225578232,-8.08,52.3771333,4.9115600
1177.724405888231,-11.09,52.3779800,4.9113550
1272.978489215073,-13.06,52.3788267,4.9111500
1368.232572543376,-11.01,52.3796733,4.9109450
1463.4866585419047,-9.15,52.3805200,4.9107400
1463.4866585419047,3.0,52.3805100,4.9107400
1521.4465989922928,0.53,52.3808400,4.9114000
1611.6191342080556,3.8300000000000005,52.3816500,4.9113700
1701.7711941810503,3.04,52.3824600,4.9113800
1791.4054134348096,2.8800000000000003,52.3832650,4.9114200
1881.0396325858464,2.41,52.3840700,4.9114600
1935.6421670925115,1.77,52.3845600,4.9115000
1965.3656895721194,1.53,52.3848200,4.9114000
2021.972626329222,2.0300000000000002,52.3852400,4.9118700
2058.9964310149517,1.98,52.3855000,4.9122100
2137.4363933213967,1.1,52.3859900,4.9130400
2208.755067542867,0.84,52.3864050,4.9138400
2280.0737256715897,2.23,52.3868200,4.9146400
2360.988091123715,2.23,52.3873100,4.9155200
2444.44684735708,2.43,52.3878333,4.9164000
2527.9056035922617,2.5900000000000003,52.3883567,4.9172800
2611.3643591056834,3.56,52.3888800,4.9181600
2700.5530279997774,2.75,52.3894300,4.9191150
2789.7416799929624,2.4000000000000004,52.3899800,4.9200700
2853.0420097275983,2.97,52.3904100,4.9206800
2894.8315064247768,3.0300000000000002,52.3907100,4.9210500
2950.545716484999,3.52,52.3911400,4.9214700
2997.490612497688,4.140000000000001,52.3915200,4.9217700
3088.5744163476365,5.07,52.3922800,4.9222675
3179.658220197967,4.9799999999999995,52.3930400,4.9227650
3270.7420240473552,4.23,52.3938000,4.9232625
3361.82581598912,5.64,52.3945600,4.9237600
3412.368047183726,4.85,52.3949700,4.9240800
3462.9102034074776,2.4200000000000004,52.3953800,4.9244000
3518.0113003366896,2.7,52.3958400,4.9247000
3573.0066230423627,3.5100000000000002,52.3963100,4.9249500
3628.362261433899,4.03,52.3967700,4.9252600
3705.203566991927,2.9200000000000004,52.3973800,4.9257900
3709.1149237215614,2.8800000000000003,52.3974100,4.9258200
3719.2081402899253,2.73,52.3974900,4.9258900
3723.512436132538,2.73,52.3975200,4.9258500
3732.51908829021,2.54,52.3976000,4.9258300
3741.017584813273,2.54,52.3976700,4.9258800
3751.0373011131614,2.54,52.3977300,4.9257700
3795.097583740635,2.23,52.3979400,4.9252200
3866.5358909882225,2.2600000000000002,52.3982400,4.9242900
3937.974218998652,2.68,52.3985400,4.9233600
3975.6965121066546,2.23,52.3987300,4.9229000
3985.5643069033836,2.33,52.3986800,4.9227800
4040.711990910566,2.71,52.3984000,4.9221100
4060.2686446996454,2.71,52.3985500,4.9219600
4097.129972017228,2.39,52.3988500,4.9217300
4107.223115524718,2.4200000000000004,52.3989300,4.9216600
4139.468929462348,2.69,52.3991800,4.9214200
4145.6612763023,2.7900000000000005,52.3992300,4.9213800
4159.455191825025,3.16,52.3993300,4.9212600
4166.419433220878,3.16,52.3993600,4.9211700
4185.43353476985,3.16,52.3993600,4.9208900
4193.0007216421745,3.67,52.3993900,4.9207900
4283.175942008689,3.6100000000000003,52.3999300,4.9198000
4299.425662752799,3.37,52.4000000,4.9195900
4377.983119528844,3.0,52.4002633,4.9185167
4456.5405763051385,3.74,52.4005267,4.9174433
4535.098015198294,3.67,52.4007900,4.9163700
4594.228237337487,2.7800000000000002,52.4009300,4.9155300
4623.427425732845,2.5700000000000003,52.4009300,4.9151000
4689.405332754496,2.2900000000000005,52.4007800,4.9141600
4718.68934678535,3.33,52.4007600,4.9137300
4744.423190598061,3.04,52.4008100,4.9133600
4764.825149812426,3.04,52.4008200,4.9130600
4827.337659387244,3.06,52.4008000,4.9121400
4889.850166577774,3.0900000000000003,52.4007800,4.9112200
4959.123595772523,3.0900000000000003,52.4014000,4.9113100
4979.566920807107,3.45,52.4015800,4.9113700
5003.045880699232,3.45,52.4017800,4.9114800
5037.31627508313,3.45,52.4020600,4.9116900
5042.531267170881,3.4400000000000004,52.4021000,4.9117300
5054.600702766624,3.45,52.4021800,4.9118500
5082.952907585147,3.2,52.4024200,4.9119900
5154.894615333643,2.6,52.4026800,4.9110200
5203.010763632871,2.6,52.4029000,4.9104100
5261.654077520656,2.45,52.4032000,4.9097000
5321.647888248959,3.21,52.4034800,4.9089450
5381.641720493952,3.8000000000000003,52.4037600,4.9081900
5399.094243000287,3.19,52.4038300,4.9079600
5415.128901916744,3.19,52.4039300,4.9077900
