distance,altitude,latitude,longitude
0,6,52.710689,4.692273
2.715348900472515,6.1,52.710676,4.692307
5.6043027959856335,6.1,52.710663,4.692344
8.730194467655764,6.2,52.71065,4.692385
11.928475471161534,6.2,52.710638,4.692428
15.312053267836284,6.2,52.710626,4.692474
18.842718677686268,6.3,52.710615,4.692523
22.43685456040373,6.3,52.710604,4.692573
26.15836548235219,6.4,52.710593,4.692625
30.00778328967479,6.4,52.710582,4.692679
33.82327435053298,6.4,52.710572,4.692733
37.703463232903644,6.5,52.710562,4.692788
41.64844681921595,6.5,52.710552,4.692844
45.52863732915698,6.5,52.710542,4.692899
49.44368819702286,6.5,52.710533,4.692955
53.32388025288985,6.5,52.710523,4.69301
57.17330359274989,6.5,52.710512,4.693064
60.98880023702516,6.5,52.710502,4.693118
64.7483906423469,6.4,52.71049,4.69317
68.50798194861814,6.4,52.710478,4.693222
72.20447359955598,6.4,52.710466,4.693273
75.94260719531233,6.4,52.710453,4.693324
79.72519921918827,6.4,52.710439,4.693375
83.63136273110653,6.4,52.710425,4.693428
87.49449215975542,6.3,52.710412,4.693481
91.52497305242237,6.3,52.710398,4.693536
95.68044838363313,6.2,52.710384,4.693593
99.8588369395037,6.1,52.710371,4.693651
104.139926463181,6,52.710357,4.69371
108.44538297669257,6,52.710344,4.69377
112.81455593273314,6,52.710331,4.693831
117.12001471599294,6,52.710318,4.693891
121.48918998200088,6,52.710305,4.693952
125.85836640201958,6,52.710292,4.694013
130.1002329996333,6,52.710279,4.694072
134.36959226728757,6,52.710267,4.694132
138.5479906516234,6,52.710254,4.69419
142.56146397835315,6,52.710242,4.694246
146.57493828436486,6,52.71023,4.694302
150.5247424210501,6,52.710218,4.694357
154.41100856799235,6,52.710206,4.694411
158.29727565469582,6,52.710194,4.694465
162.12014350738815,6,52.710182,4.694518
165.9695938014715,6,52.710171,4.694572
169.85586362864487,6,52.710159,4.694626
173.76945259637617,6,52.710148,4.694681
177.71926328501493,6,52.710136,4.694736
181.76146509616706,6,52.710125,4.694793
185.8681313821405,6,52.710114,4.694851
190.07336332865685,6,52.710102,4.69491
194.24459402078813,6,52.710091,4.694969
198.38579563384604,6,52.710079,4.695027
202.5642098072949,6,52.710066,4.695085
206.57769846129403,6,52.710054,4.695141
210.60820737812074,6,52.71004,4.695196
214.57647036804553,6,52.710026,4.69525
218.52836544897812,6,52.710011,4.695303
222.65001983832596,6,52.709995,4.695358
226.8327320720574,6,52.709979,4.695414
234.32228990934757,6,52.70995,4.695514
237.41359715111867,6,52.709939,4.695556
240.55063449226031,6,52.709927,4.695598
248.5315237021402,6,52.709898,4.695706
251.58048215920388,6,52.709888,4.695748
254.73396855151432,6,52.709877,4.695791
259.05683862934546,6,52.709862,4.69585
263.07034391343416,6,52.70985,4.695906
266.85580311641013,6,52.709839,4.695959
270.4136346967781,6,52.709829,4.696009
273.8088623794226,6,52.70982,4.696057
277.2381693885005,6,52.709812,4.696106
280.6333982744338,6,52.709803,4.696154
284.1580116098537,6,52.709794,4.696204
287.84447991745026,6,52.709784,4.696256
291.5660530030508,6,52.709773,4.696308
295.429231882772,6,52.70976,4.696361
299.35516221097356,6,52.709747,4.696415
303.4159866258179,6,52.709731,4.696469
307.57920383533616,5.9,52.709713,4.696523
311.7970913569409,5.9,52.709694,4.696577
316.07406326537614,6,52.709673,4.69663
320.2945922180953,6,52.709652,4.696682
324.40324292213995,6,52.709631,4.696732
328.3933647036329,6,52.709611,4.696781
332.2720281323241,6,52.709591,4.696828
335.91378463928817,6,52.709573,4.696873
339.5077544584952,6.1,52.709554,4.696916
343.0374059760834,6.2,52.709536,4.696959
346.4566198932323,6.2,52.709518,4.697
349.8758347330323,6.3,52.7095,4.697041
353.36140827652787,6.4,52.709481,4.697082
356.9155865092633,6.4,52.709461,4.697123
360.59241324965694,6.5,52.70944,4.697165
364.41455968914323,6.6,52.709417,4.697207
368.411625087705,6.7,52.709393,4.697251
372.60941467651463,6.8,52.709367,4.697296
377.01106757426487,6.9,52.709339,4.697342
381.46071788182445,7,52.709311,4.697389
386.1158055437508,7.1,52.709281,4.697437
390.81824705178667,7.2,52.709251,4.697486
395.39418937541996,7.3,52.709222,4.697534
400.0182961926793,7.4,52.709193,4.697583
404.51645370954753,7.5,52.709165,4.697631
408.8889106400651,7.6,52.709138,4.697678
413.2613689865211,7.7,52.709111,4.697725
417.58497542133625,7.8,52.709084,4.697771
421.7340725918672,7.9,52.709058,4.697815
425.7873805684236,8,52.709032,4.697857
429.7620202781767,8.1,52.709007,4.697899
433.6412728811246,8.1,52.708982,4.697939
437.47373010155394,8.2,52.708957,4.697978
441.17902414952397,8.2,52.708933,4.698016
444.8843191670437,8.3,52.708909,4.698054
448.46266912565784,8.3,52.708886,4.698091
452.0885765589833,8.3,52.708863,4.698129
455.5881976524608,8.4,52.708841,4.698166
459.21410694261203,8.4,52.708818,4.698204
462.6864958200084,8.4,52.708797,4.698242
466.20917069118235,8.5,52.708776,4.698281
469.7827024082051,8.5,52.708755,4.698321
473.2844756574767,8.5,52.708735,4.698361
476.9094120200328,8.5,52.708714,4.698402
480.44899609754253,8.5,52.708695,4.698444
484.0561578122749,8.4,52.708675,4.698486
487.71674762008274,8.4,52.708655,4.698529
491.32391136881284,8.4,52.708635,4.698571
494.9845032776862,8.4,52.708615,4.698614
498.69898480553206,8.4,52.708595,4.698658
502.4134674162048,8.5,52.708575,4.698702
506.12795111324436,8.5,52.708555,4.698746
509.95151920610465,8.5,52.708535,4.698792
513.7750884513326,8.4,52.708515,4.698838
