distance,altitude,latitude,longitude
0.0,12.46,52.6211900,4.6214400
95.84855977923078,12.46,52.6203350,4.6212700
191.6971035991853,10.370000000000001,52.6194800,4.6211000
198.58205255506883,10.370000000000001,52.6194300,4.6211600
226.77324101442883,11.040000000000001,52.6193400,4.6215500
267.62085217804474,11.56,52.6192600,4.6221400
301.6863917972243,10.610000000000001,52.6189600,4.6220400
309.73648455055957,10.610000000000001,52.6188900,4.6220100
339.68275193960864,9.89,52.6186600,4.6217800
422.16937570408294,7.150000000000001,52.6180800,4.6210200
437.6146550739861,7.150000000000001,52.6179500,4.6209400
476.5915782642772,7.36,52.6176000,4.6209600
515.1071306047274,5.91,52.6176000,4.6203900
581.4109508189038,2.7,52.6176300,4.6194100
637.7866271514702,2.87,52.6171250,4.6193450
694.1622976018324,2.87,52.6166200,4.6192800
791.5152174225893,4.12,52.6157575,4.6190400
888.8681372427848,3.73,52.6148950,4.6188000
986.2210570630405,3.0100000000000002,52.6140325,4.6185600
1083.5739683522625,0.62,52.6131700,4.6183200
1175.8290821518945,1.04,52.6123600,4.6180300
1266.9819187080366,2.6300000000000003,52.6115533,4.6177967
1358.134755263495,2.6300000000000003,52.6107467,4.6175633
1449.287608901081,1.81,52.6099400,4.6173300
1535.0180984131339,4.630000000000001,52.6091775,4.6171500
1620.7485879237418,4.66,52.6084150,4.6169700
1706.4790774340154,4.66,52.6076525,4.6167900
1792.2095745208464,4.66,52.6068900,4.6166100
1881.98446781152,4.710000000000001,52.6060900,4.6164400
1971.7593611033142,4.710000000000001,52.6052900,4.6162700
2061.534250461438,4.710000000000001,52.6044900,4.6161000
2138.6659808191416,4.710000000000001,52.6038000,4.6159933
2215.7977111769337,4.73,52.6031100,4.6158867
2292.9294494258056,5.7,52.6024200,4.6157800
2388.8294920728026,5.72,52.6015583,4.6157767
2484.729534718083,5.750000000000001,52.6006967,4.6157733
2580.6295773648103,5.750000000000001,52.5998350,4.6157700
2676.529620009032,6.750000000000001,52.5989733,4.6157667
2772.429662656284,5.78,52.5981117,4.6157633
2868.3297004454857,5.890000000000001,52.5972500,4.6157600
2965.835643386676,6.78,52.5963815,4.6155700
3063.341586327958,6.760000000000001,52.5955131,4.6153799
3160.847529268598,5.7700000000000005,52.5946446,4.6151899
3258.3534722101826,6.32,52.5937762,4.6149999
3355.859415151179,5.430000000000001,52.5929077,4.6148098
3453.3653580916134,5.670000000000001,52.5920392,4.6146198
3550.8713010331057,5.37,52.5911708,4.6144298
3648.3772439733075,5.65,52.5903023,4.6142398
3745.883186915406,5.630000000000001,52.5894339,4.6140499
3843.389129855502,5.630000000000001,52.5885654,4.6138599
3940.8950727967745,5.7700000000000005,52.5876969,4.6136699
4038.401015737669,5.540000000000001,52.5868285,4.6134800
4135.906959281334,5.410000000000001,52.5859600,4.6132900
4233.72530508814,4.930000000000001,52.5850894,4.6130910
4331.543650894035,4.920000000000001,52.5842189,4.6128921
4429.361996699291,4.48,52.5833483,4.6126932
4527.180342507291,4.44,52.5824778,4.6124942
4624.998688312051,4.44,52.5816072,4.6122953
4722.817034120103,5.38,52.5807367,4.6120964
4820.635379925439,5.410000000000001,52.5798661,4.6118975
4918.453725730676,5.34,52.5789956,4.6116986
5016.272071538446,5.34,52.5781250,4.6114997
5114.0904173435,5.38,52.5772545,4.6113008
5211.908763150047,5.53,52.5763839,4.6111019
5309.727108957555,4.68,52.5755133,4.6109030
5407.545454763158,4.540000000000001,52.5746428,4.6107042
5505.363800568691,4.29,52.5737722,4.6105053
5603.182146374421,4.28,52.5729017,4.6103065
5701.000492179817,4.28,52.5720311,4.6101077
5798.818837987498,3.43,52.5711606,4.6099088
5896.637186048452,4.28,52.5702900,4.6097100
5971.815132813193,4.140000000000001,52.5696250,4.6095150
6046.993079575646,3.33,52.5689600,4.6093200
6122.171026340037,3.3100000000000005,52.5682950,4.6091250
6197.348971027162,3.2700000000000005,52.5676300,4.6089300
6259.190112141358,3.2700000000000005,52.5670800,4.6088000
6321.031248840622,3.23,52.5665300,4.6086700
6360.195643349847,3.23,52.5661800,4.6087300
6437.748746576686,3.21,52.5654900,4.6085700
6537.02976595354,2.22,52.5646111,4.6083188
6636.310785329668,2.22,52.5637322,4.6080677
6735.591804708454,2.22,52.5628533,4.6078166
6834.872824085521,2.22,52.5619744,4.6075655
6934.153843462714,2.1,52.5610956,4.6073143
7033.434862840331,2.1,52.5602167,4.6070632
7132.715882216315,2.1,52.5593378,4.6068122
7231.99690159331,2.04,52.5584589,4.6065611
7331.277920267652,1.07,52.5575800,4.6063100
7353.904262959475,1.07,52.5573800,4.6063700
7356.219269618038,1.1,52.5573700,4.6064000
7422.980891992168,9.05,52.5572450,4.6073650
7489.742484634324,12.16,52.5571200,4.6083300
7523.084895868979,11.48,52.5572100,4.6088000
7563.220844714833,11.19,52.5574300,4.6092700
7574.777436323083,10.8,52.5574400,4.6094400
7612.626622168122,7.0600000000000005,52.5577500,4.6092100
7658.696158609512,5.800000000000001,52.5581300,4.6089400
7678.831958071579,6.1000000000000005,52.5583100,4.6089100
7749.720325870917,6.7700000000000005,52.5589300,4.6091500
7834.315866255268,5.010000000000001,52.5596900,4.6091700
7863.449826142745,4.3500000000000005,52.5599500,4.6092200
7905.739706794518,3.36,52.5603100,4.6094200
7968.950692083414,3.17,52.5607600,4.6099900
7994.655244911678,3.5300000000000002,52.5609600,4.6101800
8029.183027373143,3.68,52.5612600,4.6103100
8104.972883594664,4.86,52.5619400,4.6102500
8136.398960230015,7.3100000000000005,52.5622200,4.6103100
